key,text,status,cdn_status,bytes,needs_purge,reason,attempts,provider
"openai|nova|0.85||M: How often do you visit your grandparents?
W: Every other weekend. They live in the next city.","M: How often do you visit your grandparents?
W: Every other weekend. They live in the next city.",created,200,130080,no,,1,openai
"openai|nova|0.85||M: Why are you wearing that special vest?
W: I'm a volunteer at the marathon today, helping with traffic control.","M: Why are you wearing that special vest?
W: I'm a volunteer at the marathon today, helping with traffic control.",created,200,141600,no,,1,openai
"openai|nova|0.85||M: Hi Lin! Have you made your New Year's resolutions for this year?
W: Yes! I've made three big plans this year. First, I want to read 50 books.
M: Wow, that's ambitious! Why so many?
W: I want to improve my Chinese and English at the same time. Half in each language.
M: That's smart. What's your second plan?
W: I've decided to learn the violin. I've always wanted to play a musical instrument.
M: Cool! What's the third one?
W: I plan to volunteer at the local library every Saturday. It's a way to give back to my community.
M: That's wonderful, Lin. How will you find time for everything?
W: I'll wake up an hour earlier and use my time better. I hope to be more disciplined this year.
M: I admire your goals. Maybe I should make some too.
W: You should! Setting goals helps us grow.","M: Hi Lin! Have you made your New Year's resolutions for this year?
W: Yes! I've made three big plans this year. First, I want to read 50 books.
M: Wow, that's ambitious! Why so many?
W: I want to improve my Chinese and English at the same time. Half in each language.
M: That's smart. What's your second plan?
W: I've decided to learn the violin. I've always wanted to play a musical instrument.
M: Cool! What's the third one?
W: I plan to volunteer at the local library every Saturday. It's a way to give back to my community.
M: That's wonderful, Lin. How will you find time for everything?
W: I'll wake up an hour earlier and use my time better. I hope to be more disciplined this year.
M: I admire your goals. Maybe I should make some too.
W: You should! Setting goals helps us grow.",created,200,1123680,no,,1,openai
"openai|nova|0.85||M: How long have you been learning Spanish?
W: For about two years now. I can have basic conversations.","M: How long have you been learning Spanish?
W: For about two years now. I can have basic conversations.",created,200,144000,no,,1,openai
"openai|nova|0.85||If we work hard and stay positive, our dreams will eventually come true.","If we work hard and stay positive, our dreams will eventually come true.",created,200,103200,no,,1,openai
"openai|nova|0.85||M: I'm trying to eat healthier. Any tips?
W: Eat more vegetables and drink less soda.","M: I'm trying to eat healthier. Any tips?
W: Eat more vegetables and drink less soda.",created,200,115200,no,,1,openai
"openai|nova|0.85||W: I've learned to swim this summer. What about you?
M: I've learned to ride a bike! It took me weeks to balance.","W: I've learned to swim this summer. What about you?
M: I've learned to ride a bike! It took me weeks to balance.",created,200,155520,no,,1,openai
"openai|nova|0.85||Hi everyone! This is Lily speaking. Next Saturday is my fourteenth birthday, and I want to invite all my friends to my birthday party.

The party will be held at my home. The address is one hundred and twenty-three Sunshine Road. You can take Bus eighteen to get there.

The party starts at three thirty in the afternoon. Please come on time. We will end at eight in the evening.

I have planned many fun activities. First, we will play games together for an hour. Then we will have a pizza dinner at five. After dinner, we will sing karaoke and watch movies.

Please bring yourself and a smile. You don't need to bring any gifts. But if you want, please bring a small picture or note for my memory book. That would be the best gift!

Please call me at six-eight-eight one-two-three before Wednesday to let me know if you can come. I really hope to see you all!","Hi everyone! This is Lily speaking. Next Saturday is my fourteenth birthday, and I want to invite all my friends to my birthday party.

The party will be held at my home. The address is one hundred and twenty-three Sunshine Road. You can take Bus eighteen to get there.

The party starts at three thirty in the afternoon. Please come on time. We will end at eight in the evening.

I have planned many fun activities. First, we will play games together for an hour. Then we will have a pizza dinner at five. After dinner, we will sing karaoke and watch movies.

Please bring yourself and a smile. You don't need to bring any gifts. But if you want, please bring a small picture or note for my memory book. That would be the best gift!

Please call me at six-eight-eight one-two-three before Wednesday to let me know if you can come. I really hope to see you all!",created,200,1248000,no,,1,openai
"openai|nova|0.85||W: What clubs are you joining this semester?
M: The chess club and the photography club.","W: What clubs are you joining this semester?
M: The chess club and the photography club.",created,200,122880,no,,1,openai
"openai|nova|0.85||W: I can't decide between the red dress and the blue one.
M: I think the blue one suits you better. It matches your eyes.","W: I can't decide between the red dress and the blue one.
M: I think the blue one suits you better. It matches your eyes.",created,200,163680,no,,1,openai
"openai|nova|0.85||W: How are your studies going for the entrance exam?
M: I review every subject systematically and practice past papers.","W: How are your studies going for the entrance exam?
M: I review every subject systematically and practice past papers.",created,200,166560,no,,1,openai
"openai|nova|0.85||W: Where were you on Sunday morning?
M: I helped my neighbors clean up the community garden.","W: Where were you on Sunday morning?
M: I helped my neighbors clean up the community garden.",created,200,126720,no,,1,openai
"openai|nova|0.85||Good evening, this is the news. A heartwarming story happened last Sunday in Willow Town.

A ten-year-old boy named Tommy was playing near a small river behind his house. Suddenly, he slipped and fell into the cold water. The river was about two meters deep.

Luckily, his pet dog, Max, was with him. Max is a four-year-old golden retriever. The dog jumped into the river and pulled Tommy back to the bank by his clothes.

A neighbor named Mrs. Brown saw the whole thing. She called 120 immediately. The hospital sent help in just five minutes.

Tommy was safe but a little cold. The doctor said he was fine and sent him home that evening. The dog Max became the hero of the town.

Tommy's parents said they would buy Max his favorite food, beef, every day for one month as a thank-you gift.","Good evening, this is the news. A heartwarming story happened last Sunday in Willow Town.

A ten-year-old boy named Tommy was playing near a small river behind his house. Suddenly, he slipped and fell into the cold water. The river was about two meters deep.

Luckily, his pet dog, Max, was with him. Max is a four-year-old golden retriever. The dog jumped into the river and pulled Tommy back to the bank by his clothes.

A neighbor named Mrs. Brown saw the whole thing. She called 120 immediately. The hospital sent help in just five minutes.

Tommy was safe but a little cold. The doctor said he was fine and sent him home that evening. The dog Max became the hero of the town.

Tommy's parents said they would buy Max his favorite food, beef, every day for one month as a thank-you gift.",created,200,1143360,no,,1,openai
"openai|nova|0.85||W: Your English has improved a lot. What's your secret?
M: I watch English movies with subtitles every day.","W: Your English has improved a lot. What's your secret?
M: I watch English movies with subtitles every day.",created,200,150240,no,,1,openai
"openai|nova|0.85||Good morning, students. Today, our school doctor is here to give you some tips for a healthy lifestyle.

First, you should eat a balanced diet. Try to eat at least five different colors of fruit and vegetables every day. Don't eat too much fast food because it has too much salt and oil.

Second, drink enough water. Doctors say teenagers should drink eight glasses of water every day. This helps your body work well.

Third, exercise regularly. You should exercise at least three times a week. Each time should be at least thirty minutes. Running and swimming are great choices.

Fourth, get enough sleep. Teenagers need nine hours of sleep every night. Don't look at your phone before bed.

Finally, see a doctor twice a year for a regular check-up. Health is the most valuable thing in your life. Take care of yourself!","Good morning, students. Today, our school doctor is here to give you some tips for a healthy lifestyle.

First, you should eat a balanced diet. Try to eat at least five different colors of fruit and vegetables every day. Don't eat too much fast food because it has too much salt and oil.

Second, drink enough water. Doctors say teenagers should drink eight glasses of water every day. This helps your body work well.

Third, exercise regularly. You should exercise at least three times a week. Each time should be at least thirty minutes. Running and swimming are great choices.

Fourth, get enough sleep. Teenagers need nine hours of sleep every night. Don't look at your phone before bed.

Finally, see a doctor twice a year for a regular check-up. Health is the most valuable thing in your life. Take care of yourself!",created,200,1181280,no,,1,openai
"openai|nova|0.85||M: Lily, you look worried. What's wrong?
W: I lost my wallet on the way home from school yesterday!
M: Oh no! Did you have a lot of money in it?
W: About 200 yuan, plus my school card and my house key.
M: When did you notice it was missing?
W: When I got home, I tried to open the door. Then I realized my key was gone.
M: Where did you go yesterday?
W: After school, I took the bus, then I went to the supermarket to buy snacks.
M: Maybe you dropped it on the bus or in the supermarket?
W: I called the bus company and they didn't find anything. The supermarket said the same.
M: Don't give up. Let's go check again. Maybe someone turned it in.
W: That's a good idea. Thank you for helping me, Mike.
M: No problem. Did you tell your parents?
W: Yes. My dad was so worried, but he said next time I should keep important things in different places.","M: Lily, you look worried. What's wrong?
W: I lost my wallet on the way home from school yesterday!
M: Oh no! Did you have a lot of money in it?
W: About 200 yuan, plus my school card and my house key.
M: When did you notice it was missing?
W: When I got home, I tried to open the door. Then I realized my key was gone.
M: Where did you go yesterday?
W: After school, I took the bus, then I went to the supermarket to buy snacks.
M: Maybe you dropped it on the bus or in the supermarket?
W: I called the bus company and they didn't find anything. The supermarket said the same.
M: Don't give up. Let's go check again. Maybe someone turned it in.
W: That's a good idea. Thank you for helping me, Mike.
M: No problem. Did you tell your parents?
W: Yes. My dad was so worried, but he said next time I should keep important things in different places.",created,200,1193760,no,,1,openai
"openai|nova|0.85||M: Have you done any volunteer work before?
W: Yes, I enjoy reading to the elderly at the senior center every Sunday.","M: Have you done any volunteer work before?
W: Yes, I enjoy reading to the elderly at the senior center every Sunday.",created,200,166080,no,,1,openai
"openai|nova|0.85||W: Mike, what were you doing during the rainstorm last Friday?
M: I was walking home from school. I didn't bring an umbrella!
W: Oh no! Did you get totally wet?
M: Yes, completely. While I was running for shelter, I slipped and fell into a puddle.
W: That's terrible! Were you hurt?
M: My knee was bleeding a little. But the worst part was — my phone fell out of my bag.
W: Oh no, did it break?
M: Luckily it landed on grass. The screen cracked but it still works. What about you?
W: I was at the library when the storm started. I had to wait two hours for it to stop.
M: Did you study while you were waiting?
W: I tried, but the wind was so loud I couldn't concentrate. I just watched the rain.
M: It was a memorable Friday for both of us!
W: Yes, and now I always check the weather before leaving home.","W: Mike, what were you doing during the rainstorm last Friday?
M: I was walking home from school. I didn't bring an umbrella!
W: Oh no! Did you get totally wet?
M: Yes, completely. While I was running for shelter, I slipped and fell into a puddle.
W: That's terrible! Were you hurt?
M: My knee was bleeding a little. But the worst part was — my phone fell out of my bag.
W: Oh no, did it break?
M: Luckily it landed on grass. The screen cracked but it still works. What about you?
W: I was at the library when the storm started. I had to wait two hours for it to stop.
M: Did you study while you were waiting?
W: I tried, but the wind was so loud I couldn't concentrate. I just watched the rain.
M: It was a memorable Friday for both of us!
W: Yes, and now I always check the weather before leaving home.",created,200,1137120,no,,1,openai
"openai|nova|0.85||W: David, have you decided on which high school you want to apply to?
M: Yes, I'm aiming for Central High School. Their science program is excellent.
W: That's a tough school. The cut-off score was 580 last year.
M: I know. I've been preparing intensively for 6 months now.
W: What subjects do you focus on the most?
M: Math and physics, since they're my weak points but Central values them highly.
W: Have you visited the school?
M: Yes, twice. My older sister also went there, so I'm familiar with it.
W: That's great. Good luck with your exams!
M: Thanks. I'll need it.","W: David, have you decided on which high school you want to apply to?
M: Yes, I'm aiming for Central High School. Their science program is excellent.
W: That's a tough school. The cut-off score was 580 last year.
M: I know. I've been preparing intensively for 6 months now.
W: What subjects do you focus on the most?
M: Math and physics, since they're my weak points but Central values them highly.
W: Have you visited the school?
M: Yes, twice. My older sister also went there, so I'm familiar with it.
W: That's great. Good luck with your exams!
M: Thanks. I'll need it.",created,200,819360,no,,1,openai
"openai|nova|0.85||M: I love this book so much! It's the best mystery I've ever read.
W: Can I borrow it after you finish?","M: I love this book so much! It's the best mystery I've ever read.
W: Can I borrow it after you finish?",created,200,138720,no,,1,openai
"openai|nova|0.85||W: Have you ever been to the Great Wall, Tom?
M: Yes, I have. I went there twice with my parents last year.","W: Have you ever been to the Great Wall, Tom?
M: Yes, I have. I went there twice with my parents last year.",created,200,132480,no,,1,openai
"openai|nova|0.85||Jack Ma is one of the most successful businessmen in China. He was born in Hangzhou in 1964. As a child, he was fascinated by English and would ride his bike to the local hotel just to talk with foreign tourists. He failed his college entrance exam twice but never gave up. He became an English teacher before founding Alibaba in 1999. Today, his company has changed how people shop and pay in China. His story shows that success comes from passion, hard work, and not giving up.","Jack Ma is one of the most successful businessmen in China. He was born in Hangzhou in 1964. As a child, he was fascinated by English and would ride his bike to the local hotel just to talk with foreign tourists. He failed his college entrance exam twice but never gave up. He became an English teacher before founding Alibaba in 1999. Today, his company has changed how people shop and pay in China. His story shows that success comes from passion, hard work, and not giving up.",created,200,734880,no,,1,openai
"openai|nova|0.85||M: I've decided to learn the piano this year.
W: Great idea! How often will you practice?","M: I've decided to learn the piano this year.
W: Great idea! How often will you practice?",created,200,121920,no,,1,openai
"openai|nova|0.85||W: I lost my key on the way home. Can you help me find it?
M: Sure! Where do you think you might have dropped it?","W: I lost my key on the way home. Can you help me find it?
M: Sure! Where do you think you might have dropped it?",created,200,156000,no,,1,openai
"openai|nova|0.85||W: Have you ever celebrated Mid-Autumn Festival abroad?
M: Yes, last year I shared mooncakes with my host family in America.","W: Have you ever celebrated Mid-Autumn Festival abroad?
M: Yes, last year I shared mooncakes with my host family in America.",created,200,178080,no,,1,openai
"openai|nova|0.85||M: Have you ever tried Chinese calligraphy?
W: Yes, I started learning it three years ago. It's very relaxing.","M: Have you ever tried Chinese calligraphy?
W: Yes, I started learning it three years ago. It's very relaxing.",created,200,143040,no,,1,openai
"openai|nova|0.85||W: Why are you so excited?
M: Our team won the basketball championship!","W: Why are you so excited?
M: Our team won the basketball championship!",created,200,94080,no,,1,openai
"openai|nova|0.85||W: Have you decided which high school to apply to?
M: I'm aiming for No. 1 High School. It's the best in our district.","W: Have you decided which high school to apply to?
M: I'm aiming for No. 1 High School. It's the best in our district.",created,200,162720,no,,1,openai
"openai|nova|0.85||W: I just adopted a cat from a shelter.
M: That's wonderful! Adoption saves lives.","W: I just adopted a cat from a shelter.
M: That's wonderful! Adoption saves lives.",created,200,100800,no,,1,openai
"openai|nova|0.85||M: Are you participating in the sports day?
W: Yes, I'm running the 400 meters.","M: Are you participating in the sports day?
W: Yes, I'm running the 400 meters.",created,200,106560,no,,1,openai
"openai|nova|0.85||Hello, everyone. Today I want to share my classmate Lin Mei's story. Lin Mei is only fourteen years old, but she has already done amazing things.

When Lin Mei was seven years old, she started learning piano. Now she has been playing for seven years. Last month, she won first place in the city piano contest.

Lin Mei is also a great writer. She has written more than thirty short stories. Her first book was published when she was twelve. So far, she has sold ten thousand copies of her book.

Besides this, Lin Mei is a kind volunteer. She has been helping at the local library for two years. Every Saturday, she reads stories to younger children. About forty kids come to listen each week.

Lin Mei is now learning Spanish, her third language after Chinese and English. She practices for an hour every day.

Lin Mei always says: ""If you really want something, you can do it. Age doesn't matter."" She is truly inspiring!","Hello, everyone. Today I want to share my classmate Lin Mei's story. Lin Mei is only fourteen years old, but she has already done amazing things.

When Lin Mei was seven years old, she started learning piano. Now she has been playing for seven years. Last month, she won first place in the city piano contest.

Lin Mei is also a great writer. She has written more than thirty short stories. Her first book was published when she was twelve. So far, she has sold ten thousand copies of her book.

Besides this, Lin Mei is a kind volunteer. She has been helping at the local library for two years. Every Saturday, she reads stories to younger children. About forty kids come to listen each week.

Lin Mei is now learning Spanish, her third language after Chinese and English. She practices for an hour every day.

Lin Mei always says: ""If you really want something, you can do it. Age doesn't matter."" She is truly inspiring!",created,200,1329600,no,,1,openai
"openai|nova|0.85||M: I have a bad cold, Doctor.
W: You should drink lots of water and stay in bed. Don't go to school today.","M: I have a bad cold, Doctor.
W: You should drink lots of water and stay in bed. Don't go to school today.",created,200,139200,no,,1,openai
"openai|nova|0.85||M: How often do you eat fruit, Lily?
W: Every day. I have an apple after lunch and some berries with breakfast.","M: How often do you eat fruit, Lily?
W: Every day. I have an apple after lunch and some berries with breakfast.",created,200,137280,no,,1,openai
"openai|nova|0.85||W: Do you exercise regularly?
M: Yes, I run for 30 minutes every morning before school.","W: Do you exercise regularly?
M: Yes, I run for 30 minutes every morning before school.",created,200,132000,no,,1,openai
"openai|nova|0.85||M: My grandma can't read Chinese very well anymore.
W: I can come over and read to her on weekends.","M: My grandma can't read Chinese very well anymore.
W: I can come over and read to her on weekends.",created,200,132480,no,,1,openai
"openai|nova|0.85||Hi, I'm Lily, and I want to tell you about my best friend Anna.

Anna and I are both fourteen years old, but we are very different in many ways.

Anna is taller than me. She is one meter sixty-five tall, while I am only one meter sixty. She has long brown hair, but I have short black hair.

In school, Anna is much better at math than me. She gets the highest scores in our class. I am better at English. I love reading English novels.

Anna is more outgoing. She has many friends and likes parties. I am quieter and prefer reading at home.

Our favorite sport is the same — we both love badminton. We play together every Wednesday afternoon.

Anna is the funniest person I know. She always makes me laugh. We are best friends and we will be friends forever!","Hi, I'm Lily, and I want to tell you about my best friend Anna.

Anna and I are both fourteen years old, but we are very different in many ways.

Anna is taller than me. She is one meter sixty-five tall, while I am only one meter sixty. She has long brown hair, but I have short black hair.

In school, Anna is much better at math than me. She gets the highest scores in our class. I am better at English. I love reading English novels.

Anna is more outgoing. She has many friends and likes parties. I am quieter and prefer reading at home.

Our favorite sport is the same — we both love badminton. We play together every Wednesday afternoon.

Anna is the funniest person I know. She always makes me laugh. We are best friends and we will be friends forever!",created,200,1069440,no,,1,openai
"openai|nova|0.85||M: Lin, your English is really impressive. How long have you been learning?
W: Thanks! I've been studying English for nine years now. I started in Grade 1.
M: That's a long time. Have you ever been to an English-speaking country?
W: Yes, I've been to Singapore once with my parents. It was really helpful.
M: What's the most important thing you've learned about English?
W: Practice makes perfect. I read English news every day and watch English movies.
M: Have you ever entered any English competitions?
W: Yes! I've won three certificates so far. Last year I got first place in the city speaking contest.
M: First place? Wow, that's amazing!
W: Thank you. The competition was really tough. I had to prepare for two months.
M: I'd love to improve my English. Do you have any tips?
W: Yes! Don't be afraid to speak. Make mistakes, learn, and improve. I've made thousands of mistakes!
M: That's good advice. Have you decided what to do next?
W: I want to become an English teacher. I hope to help others love English the way I do.","M: Lin, your English is really impressive. How long have you been learning?
W: Thanks! I've been studying English for nine years now. I started in Grade 1.
M: That's a long time. Have you ever been to an English-speaking country?
W: Yes, I've been to Singapore once with my parents. It was really helpful.
M: What's the most important thing you've learned about English?
W: Practice makes perfect. I read English news every day and watch English movies.
M: Have you ever entered any English competitions?
W: Yes! I've won three certificates so far. Last year I got first place in the city speaking contest.
M: First place? Wow, that's amazing!
W: Thank you. The competition was really tough. I had to prepare for two months.
M: I'd love to improve my English. Do you have any tips?
W: Yes! Don't be afraid to speak. Make mistakes, learn, and improve. I've made thousands of mistakes!
M: That's good advice. Have you decided what to do next?
W: I want to become an English teacher. I hope to help others love English the way I do.",created,200,1430400,no,,1,openai
"openai|nova|0.85||W: I really enjoy Mrs. Chen's class. Her stories are amazing.
M: I agree. She makes history come alive.","W: I really enjoy Mrs. Chen's class. Her stories are amazing.
M: I agree. She makes history come alive.",created,200,139200,no,,1,openai
"openai|nova|0.85||M: I heard you fell off your bike yesterday. Are you OK?
W: Yes, I'm fine. I was riding too fast when I hit a stone.","M: I heard you fell off your bike yesterday. Are you OK?
W: Yes, I'm fine. I was riding too fast when I hit a stone.",created,200,162720,no,,1,openai
"openai|nova|0.85||W: I started playing guitar last month.
M: That's cool! Can you play any songs yet?","W: I started playing guitar last month.
M: That's cool! Can you play any songs yet?",created,200,110880,no,,1,openai
"openai|nova|0.85||Last summer, my family took a memorable trip across China. We visited 5 cities in 15 days. We started in Beijing, where we walked on the Great Wall and saw the Forbidden City. Then we flew to Xi'an to see the Terracotta Warriors, an amazing army of statues over 2,000 years old. Next, we went to Shanghai and admired the modern skyline. Our fourth stop was Guilin, famous for its beautiful landscapes. Finally, we ended in Hangzhou, walking around the peaceful West Lake. Each city had its own charm, and I gained a deeper appreciation for China's rich history and diverse beauty.","Last summer, my family took a memorable trip across China. We visited 5 cities in 15 days. We started in Beijing, where we walked on the Great Wall and saw the Forbidden City. Then we flew to Xi'an to see the Terracotta Warriors, an amazing army of statues over 2,000 years old. Next, we went to Shanghai and admired the modern skyline. Our fourth stop was Guilin, famous for its beautiful landscapes. Finally, we ended in Hangzhou, walking around the peaceful West Lake. Each city had its own charm, and I gained a deeper appreciation for China's rich history and diverse beauty.",created,200,865440,no,,1,openai
"openai|nova|0.85||M: Lin, you travel a lot. How many countries have you been to?
W: I've been to seven countries so far. I started traveling when I was 8.
M: Wow! Which one was your favorite?
W: Japan, definitely. The food, the culture, and the people are all wonderful.
M: Have you ever been to Europe?
W: Yes, I've been to France and Italy. Paris was beautiful but very crowded.
M: What's on your travel list now?
W: I really want to visit Australia. I've never seen kangaroos in person before.
M: Are you going there this year?
W: I hope so. My parents have promised to take me there next summer if I get good grades.","M: Lin, you travel a lot. How many countries have you been to?
W: I've been to seven countries so far. I started traveling when I was 8.
M: Wow! Which one was your favorite?
W: Japan, definitely. The food, the culture, and the people are all wonderful.
M: Have you ever been to Europe?
W: Yes, I've been to France and Italy. Paris was beautiful but very crowded.
M: What's on your travel list now?
W: I really want to visit Australia. I've never seen kangaroos in person before.
M: Are you going there this year?
W: I hope so. My parents have promised to take me there next summer if I get good grades.",created,200,838080,no,,1,openai
"openai|nova|0.85||M: Our school will hold a charity sale next week.
W: Great! I'll donate some old toys and books from home.","M: Our school will hold a charity sale next week.
W: Great! I'll donate some old toys and books from home.",created,200,148320,no,,1,openai
"openai|nova|0.85||Our school organized a successful volunteer week. Over 200 students participated. We collected 2,000 books for rural schools. We also raised 8,000 yuan for a cancer charity. The activity took place from October 12th to October 18th. Students reported feeling proud and meaningful through their service.

【填空内容】
_____ students participated. They collected _____ books. They raised _____ yuan for charity. The activity ended on _____.","Our school organized a successful volunteer week. Over 200 students participated. We collected 2,000 books for rural schools. We also raised 8,000 yuan for a cancer charity. The activity took place from October 12th to October 18th. Students reported feeling proud and meaningful through their service.

【填空内容】
_____ students participated. They collected _____ books. They raised _____ yuan for charity. The activity ended on _____.",created,200,707520,no,,1,openai
"openai|nova|0.85||W: Is your brother taller than you, Mike?
M: No, I'm taller. But he's heavier than me — he loves eating!","W: Is your brother taller than you, Mike?
M: No, I'm taller. But he's heavier than me — he loves eating!",created,200,125760,no,,1,openai
"openai|nova|0.85||Last summer, I volunteered at a children's hospital for two weeks. My job was to play with sick kids who couldn't go outside. At first, I was nervous because I didn't know what to expect. But the children quickly accepted me. We read books, did art and played simple games. One girl named Lily became my special friend. Despite being seriously ill, she always smiled and remained hopeful. From this experience, I learned that helping others actually helps yourself. I gained more than I gave. I'm planning to volunteer again next year.","Last summer, I volunteered at a children's hospital for two weeks. My job was to play with sick kids who couldn't go outside. At first, I was nervous because I didn't know what to expect. But the children quickly accepted me. We read books, did art and played simple games. One girl named Lily became my special friend. Despite being seriously ill, she always smiled and remained hopeful. From this experience, I learned that helping others actually helps yourself. I gained more than I gave. I'm planning to volunteer again next year.",created,200,777600,no,,1,openai
"openai|nova|0.85||W: Are you joining the volunteer club this year?
M: Yes, I want to help kids in the children's hospital.","W: Are you joining the volunteer club this year?
M: Yes, I want to help kids in the children's hospital.",created,200,138720,no,,1,openai
"openai|nova|0.85||Many students feel stressed about exams. This is normal, but too much stress can be harmful. It can affect your sleep, mood and even physical health. So how can you manage exam stress? First, plan your study schedule to avoid last-minute cramming. Second, get at least 8 hours of sleep each night. Third, eat balanced meals and exercise regularly. Fourth, take short breaks when studying. Most importantly, remember that exams don't define your worth. With good preparation and a positive attitude, you can do your best.","Many students feel stressed about exams. This is normal, but too much stress can be harmful. It can affect your sleep, mood and even physical health. So how can you manage exam stress? First, plan your study schedule to avoid last-minute cramming. Second, get at least 8 hours of sleep each night. Third, eat balanced meals and exercise regularly. Fourth, take short breaks when studying. Most importantly, remember that exams don't define your worth. With good preparation and a positive attitude, you can do your best.",created,200,744000,no,,1,openai
"openai|nova|0.85||M: How was your weekend, Sara?
W: Pretty good. I went to a music festival on Saturday and visited my grandma on Sunday.","M: How was your weekend, Sara?
W: Pretty good. I went to a music festival on Saturday and visited my grandma on Sunday.",created,200,168960,no,,1,openai
"openai|nova|0.85||W: Have you been to any foreign countries?
M: Yes, I've been to Japan and Thailand. Both were amazing experiences.","W: Have you been to any foreign countries?
M: Yes, I've been to Japan and Thailand. Both were amazing experiences.",created,200,161280,no,,1,openai
"openai|nova|0.85||W: Tom, I heard you joined the volunteer club. What do you do?
M: We do many things! Last weekend, we cleaned up the local park.
W: That sounds great. Have you done any other activities?
M: Yes. We've visited the elderly home twice this month. We sing songs and chat with the residents.
W: Wonderful. How long have you been a volunteer?
M: About six months. I started in March.
W: What's your favorite activity so far?
M: Teaching English to migrant workers' children. Their smiles make me really happy.
W: Why did you decide to volunteer in the first place?
M: My mom is a nurse. She always taught me to help others. I wanted to do my part too.
W: How can I join? It sounds amazing.
M: Come to our meeting next Saturday at 2 p.m. in the community center. You can sign up there.","W: Tom, I heard you joined the volunteer club. What do you do?
M: We do many things! Last weekend, we cleaned up the local park.
W: That sounds great. Have you done any other activities?
M: Yes. We've visited the elderly home twice this month. We sing songs and chat with the residents.
W: Wonderful. How long have you been a volunteer?
M: About six months. I started in March.
W: What's your favorite activity so far?
M: Teaching English to migrant workers' children. Their smiles make me really happy.
W: Why did you decide to volunteer in the first place?
M: My mom is a nurse. She always taught me to help others. I wanted to do my part too.
W: How can I join? It sounds amazing.
M: Come to our meeting next Saturday at 2 p.m. in the community center. You can sign up there.",created,200,1107840,no,,1,openai
openai|nova|0.85||Eating a balanced diet and exercising regularly are key to staying healthy.,Eating a balanced diet and exercising regularly are key to staying healthy.,created,200,108480,no,,1,openai
"openai|nova|0.85||W: How was your trip to the Great Wall?
M: Amazing! It was much longer than I imagined.","W: How was your trip to the Great Wall?
M: Amazing! It was much longer than I imagined.",created,200,123360,no,,1,openai
