word_id,book,unit,word,gloss,printed_page,pdf_page
W0140,primary_4A,Unit 6,doctor,医生 door 门 p.5 driver 司机 p.62,62,67
W0141,primary_4A,Unit 2,English book,英语书,15,20
W0142,primary_4A,Unit 1,fan,风扇 farmer 农民 p.62 find 找到 p.43 floor 地板 p.8 football player 足球运动员 p.61 fork 餐叉 p.52 fridge 冰箱 p.42 friendly 友好的 p.25,8,13
W0143,primary_4A,Unit 3,glasses,眼镜,28,33
W0144,primary_4A,Unit 3,hair,头发 hat (常指带檐的) 帽子 p.29 help 帮助 p.7 help yourself 为（自己）取用 p.51 her 她的 p.29,28,33
W0145,primary_4A,Unit 3,his,他的,24,29
W0146,primary_4A,Unit 6,job,工作,62,67
W0147,primary_4A,Unit 2,key,钥匙 kitchen 厨房 p.39 knife 刀 p.52,18,23
W0148,primary_4A,Unit 3,right,正确的; 对的,27,32
W0149,primary_4A,Unit 2,schoolbag,书包 shoe 鞋 p.28 so much 非常地 p.17,15,20
W0150,primary_4A,Unit 1,light,电灯 little 小的 p.58 living room 客厅；起居室 p.39,5,10
W0151,primary_4A,Unit 4,sofa,长沙发 soup 汤 p.49 spoon 勺 p.52 storybook 故事书 p.15 strong 强壮的 p.25 study 书房 p.39,42,47
W0152,primary_4A,Unit 2,lost,丢失 （lose的过去式形式）,17,22
W0153,primary_4A,Unit 2,maths book,数学书,15,20
W0154,primary_4A,Unit 4,table,桌子 teacher's desk 讲台 p.8,42,47
W0155,primary_4A,Unit 1,near,距离近 noodles 面条 p.49 notebook 笔记本 p.18,4,9
W0156,primary_4A,Unit 4,them,他（她、它）们 toy 玩具 p.18 try 试；尝试 p.53,43,48
W0157,primary_4A,Unit 6,nurse,护士,62,67
W0158,primary_4A,Unit 1,TV,电视,5,10
W0159,primary_4A,Unit 3,or,或者,27,32
W0160,primary_4A,Unit 6,uncle,舅父；叔父；伯父；姑父；姨夫,59,64
W0161,primary_4A,Unit 6,parents,父母 pass 给；递 p.52 people 人们 p.58,59,64
W0162,primary_4A,Unit 5,vegetable,蔬菜,49,54
W0163,primary_4A,Unit 4,phone,电话 picture 图画 p.5 puppy 小狗 p.58,42,47
W0164,primary_4A,Unit 1,wall,墙壁 window 窗户 p.5 wow 哇；呀 p.14,8,13
W0165,primary_4A,Unit 3,quiet,安静的,25,30
W0166,primary_4A,Unit 5,ready,准备好 really （表示兴趣或惊讶） 真的 p.4,48,53
W0167,primary_4B,Unit 4,animal,兽；动物,41,46
W0168,primary_4B,Unit 1,art room,美术教室,8,13
W0169,primary_4B,Unit 3,be careful,小心,24,29
W0170,primary_4B,Unit 2,breakfast,早餐；早饭,15,20
W0171,primary_4B,Unit 4,carrot,胡萝卜,39,44
W0172,primary_4B,Unit 6,cheap,花钱少的；便宜的,62,67
W0173,primary_4B,Unit 1,class,班；班级,7,12
W0174,primary_4B,Unit 5,clothes,衣服；服装,49,54
W0175,primary_4B,Unit 3,cloudy,阴天的；多云的,28,33
W0176,primary_4B,Unit 5,coat,外衣；大衣,52,57
W0177,primary_4B,Unit 3,cold,寒冷的；冷的,25,30
W0178,primary_4B,Unit 2,come on,快；加油,19,24
W0179,primary_4B,Unit 1,computer room,计算机房,8,13
W0180,primary_4B,Unit 3,cool,凉的；凉爽的,25,30
W0181,primary_4B,Unit 4,cow,母牛；奶牛,42,47
W0182,primary_4B,Unit 3,degree,度；度数,27,32
W0183,primary_4B,Unit 2,dinner,（中午或晚上吃的）正餐,15,20
W0184,primary_4B,Unit 6,dollar,元 （美国、加拿大等国的货币单位）,61,66
W0185,primary_4B,Unit 5,dress,连衣裙,49,54
W0186,primary_4B,Unit 4,eat,吃,43,48
W0187,primary_4B,Unit 6,eighty,八十,61,66
W0188,primary_4B,Unit 2,English class,英语课,15,20
W0189,primary_4B,Unit 6,expensive,昂贵的； 花钱多的,62,67
W0190,primary_4B,Unit 4,farm,农场,43,48
W0191,primary_4B,Unit 1,first floor,一楼,5,10
W0192,primary_4B,Unit 3,fly,放（风筝等）,29,34
W0193,primary_4B,Unit 1,forty,四十,7,12
W0194,primary_4B,Unit 4,garden,花园；菜园,43,48
W0195,primary_4B,Unit 2,get up,起床,18,23
W0196,primary_4B,Unit 6,glove,（分手指的）手套,59,64
W0197,primary_4B,Unit 2,go to school,去上学,18,23
W0198,primary_4B,Unit 2,go home,回家,18,23
W0199,primary_4B,Unit 2,go to bed,上床睡觉,18,23
W0200,primary_4B,Unit 4,goat,山羊,43,48
W0201,primary_4B,Unit 4,green beans,豆角；四季豆,39,44
W0202,primary_4B,Unit 5,hat,（常指带檐的）帽子,49,54
W0203,primary_4B,Unit 4,hen,母鸡,42,47
W0204,primary_4B,Unit 1,homework,作业,4,9
W0205,primary_4B,Unit 4,horse,马,42,47
W0206,primary_4B,Unit 3,hot,热的; 烫的,25,30
W0207,primary_4B,Unit 3,how about … ⋯⋯,怎么样？⋯⋯情况如何？,27,32
W0208,primary_4B,Unit 6,how much,多少钱,61,66
W0209,primary_4B,Unit 2,hurry up,快点,17,22
W0210,primary_4B,Unit 5,jacket,夹克衫,52,57
W0211,primary_4B,Unit 2,just a minute,稍等一会儿,19,24
W0212,primary_4B,Unit 6,just,正好；恰好,58,63
W0213,primary_4B,Unit 2,kid,小孩,14,19
W0214,primary_4B,Unit 1,library,图书馆,5,10
W0215,primary_4B,Unit 3,London,伦敦,28,33
W0216,primary_4B,Unit 3,love,（写信结尾的热情问候语） 爱你的,29,34
W0217,primary_4B,Unit 2,lunch,午餐；午饭,15,20
W0218,primary_4B,Unit 5,mine,我的,51,56
W0219,primary_4B,Unit 6,more,更多的,63,68
W0220,primary_4B,Unit 3,Moscow,莫斯科,28,33
W0221,primary_4B,Unit 1,music room,音乐教室,8,13
W0222,primary_4B,Unit 2,music class,音乐课,15,20
W0223,primary_4B,Unit 3,New York,纽约,27,32
W0224,primary_4B,Unit 1,next to,紧邻；在⋯⋯近旁,4,9
W0225,primary_4B,Unit 6,nice,好的,62,67
W0226,primary_4B,Unit 2,now,现在；目前,14,19
W0227,primary_4B,Unit 2,o’clock,表示整点) ⋯⋯点钟,14,19
W0228,primary_4B,Unit 6,of course,当然,58,63
W0229,primary_4B,Unit 3,outside,在户外,24,29
W0230,primary_4B,Unit 2,over,结束,14,19
W0231,primary_4B,Unit 5,pack,收拾（行李）,53,58
W0232,primary_4B,Unit 5,pants,裤子,49,54
W0233,primary_4B,Unit 2,PE class,体育课,15,20
W0234,primary_4B,Unit 1,playground,操场,8,13
W0235,primary_4B,Unit 4,potato,马铃薯；土豆,39,44
W0236,primary_4B,Unit 6,pretty,美观的；精致的,62,67
W0237,primary_4B,Unit 3,rainy,阴雨的；多雨的,28,33
W0238,primary_4B,Unit 6,sale,特价销售; 大减价,63,68
W0239,primary_4B,Unit 6,scarf,围巾；披巾,59,64
W0240,primary_4B,Unit 1,second floor,二楼,5,10
W0241,primary_4B,Unit 4,sheep,羊；绵羊,42,47
W0242,primary_4B,Unit 5,shirt,（尤指男士）衬衫,52,57
W0243,primary_4B,Unit 5,shorts,短裤,52,57
W0244,primary_4B,Unit 3,Singapore,新加坡（市）,28,33
W0245,primary_4B,Unit 6,size,尺码；号,58,63
W0246,primary_4B,Unit 5,skirt,女裙,49,54
W0247,primary_4B,Unit 3,snowy,下雪（多）的,28,33
W0248,primary_4B,Unit 5,sock,短袜,52,57
W0249,primary_4B,Unit 6,sunglasses,太阳镜,59,64
W0250,primary_4B,Unit 3,sunny,阳光充足的,28,33
W0251,primary_4B,Unit 5,sweater,毛衣,52,57
W0252,primary_4B,Unit 3,Sydney,悉尼,28,33
W0253,primary_4B,Unit 1,teachers‛ office,教师办公室,5,10
W0254,primary_4B,Unit 4,these,（this 的复数形式） 这些,38,43
W0255,primary_4B,Unit 2,thirty,三十,17,22
W0256,primary_4B,Unit 4,those,（that 的复数形式） 那些,41,46
W0257,primary_4B,Unit 4,tomato,西红柿,39,44
W0258,primary_4B,Unit 6,too,太；过于,58,63
W0259,primary_4B,Unit 6,try on,试穿,58,63
W0260,primary_4B,Unit 6,umbrella,伞；雨伞,59,64
W0261,primary_4B,Unit 6,us,我们,63,68
W0262,primary_4B,Unit 5,wait,等待,53,58
W0263,primary_4B,Unit 3,warm,温暖的；暖和的,25,30
W0264,primary_4B,Unit 1,way,方向,7,12
W0265,primary_4B,Unit 3,weather,天气,25,30
W0266,primary_4B,Unit 5,whose,谁的,51,56
W0267,primary_4B,Unit 3,windy,多风的；风大的,28,33
W0268,primary_4B,Unit 3,world,世界,28,33
W0269,primary_4B,Unit 5,yours,你的；你们的,48,53
W0270,primary_4B,Unit 4,yum,（表示味道或气味非常好）,38,43
W0271,primary_5A,Unit 5,above,在（或向）⋯⋯上面,52,57
W0272,primary_5A,Unit 4,any,任何的；任一的,41,46
W0273,primary_5A,Unit 6,aren’t = are not,,61,66
W0274,primary_5A,Unit 4,at,（后面接邮件地址）,43,48
W0275,primary_5A,Unit 5,behind,在（或向）⋯⋯ 后面,52,57
W0276,primary_5A,Unit 5,beside,在旁边（附近）,52,57
W0277,primary_5A,Unit 5,between,在⋯⋯中间,52,57
W0278,primary_5A,Unit 5,bike,自行车；脚踏车,49,54
W0279,primary_5A,Unit 6,boating,划船,58,63
W0280,primary_5A,Unit 5,bottle,瓶子,49,54
W0281,primary_5A,Unit 6,bridge,桥,62,67
W0282,primary_5A,Unit 6,building,建筑物；房子； 楼房,62,67
W0283,primary_5A,Unit 4,cartoon,漫画,39,44
W0284,primary_5A,Unit 1,clever,聪明的；聪颖的,8,13
W0285,primary_5A,Unit 5,clock,时钟；钟,49,54
W0286,primary_5A,Unit 4,cook,烹调；烹饪,42,47
W0287,primary_5A,Unit 2,cooking,烹饪；烹调,14,19
W0288,primary_5A,Unit 4,dance,跳舞,39,44
W0289,primary_5A,Unit 2,day,一天；一日,19,24
W0290,primary_5A,Unit 3,Dear,（用于信函抬头的名字 或头衔前）亲爱的,29,34
W0291,primary_5A,Unit 3,delicious,美味的；可口的,28,33
W0292,primary_5A,Unit 5,dirty,肮脏的,53,58
W0293,primary_5A,Unit 2,do,做；干,18,23
W0294,primary_5A,Unit 2,do homework,做作业,18,23
W0295,primary_5A,Unit 4,do kung fu,练武术,39,44
W0296,primary_5A,Unit 4,draw,画,39,44
W0297,primary_5A,Unit 4,draw cartoons,画漫画,39,44
W0298,primary_5A,Unit 3,drink,喝；饮,24,29
W0299,primary_5A,Unit 4,email,电子邮件,43,48
W0300,primary_5A,Unit 2,every,每一个，每个,19,24
W0301,primary_5A,Unit 5,everywhere,处处； 到处,53,58
W0302,primary_5A,Unit 3,favourite,特别喜爱的,27,32
W0303,primary_5A,Unit 1,finish,完成；做好,9,14
W0304,primary_5A,Unit 5,flower,花；花朵,51,56
W0305,primary_5A,Unit 3,food,食物,27,32
W0306,primary_5A,Unit 6,forest,森林；林区,59,64
W0307,primary_5A,Unit 3,fresh,新鲜的；刚摘的,28,33
W0308,primary_5A,Unit 5,front,正面,52,57
W0309,primary_5A,Unit 2,Friday,星期五,15,20
W0310,primary_5A,Unit 1,funny,滑稽的；可笑的,5,10
W0311,primary_5A,Unit 6,go boating,去划船,58,63
W0312,primary_5A,Unit 5,grandparent,祖父； 祖母；外祖父；外祖母,51,56
W0313,primary_5A,Unit 3,hamburger,汉堡包,25,30
W0314,primary_5A,Unit 1,hard-working,工作努力的；辛勤的,8,13
W0315,primary_5A,Unit 3,healthy,健康的,28,33
W0316,primary_5A,Unit 1,helpful,有用的； 愿意帮忙的,8,13
W0317,primary_5A,Unit 6,high,高的,63,68
W0318,primary_5A,Unit 6,hill,山丘；小山,59,64
W0319,primary_5A,Unit 1,him,（用作宾语或表语）他,9,14
W0320,primary_5A,Unit 3,hot,辣的；辛辣的,28,33
W0321,primary_5A,Unit 6,house,房屋；房子；住宅,62,67
W0322,primary_5A,Unit 3,ice cream,冰激凌,25,30
W0323,primary_5A,Unit 5,in front of,在⋯⋯前面,52,57
W0324,primary_5A,Unit 1,kind,体贴的；慈祥的； 宽容的,5,10
W0325,primary_5A,Unit 1,know,知道；了解,4,9
W0326,primary_5A,Unit 4,kung fu,功夫；武术,39,44
W0327,primary_5A,Unit 6,lake,湖；湖泊,59,64
W0328,primary_5A,Unit 4,learn,学；学习；学会,41,46
W0329,primary_5A,Unit 5,live,住；居住,53,58
W0330,primary_5A,Unit 5,lot,大量；许多,51,56
W0331,primary_5A,Unit 5,lots of,大量；许多,51,56
W0332,primary_5A,Unit 2,Monday,星期一,15,20
W0333,primary_5A,Unit 6,mountain,高山；山岳,59,64
W0334,primary_5A,Unit 5,mouse,老鼠,53,58
W0335,primary_5A,Unit 5,move,搬家,53,58
W0336,primary_5A,Unit 1,Ms,（用于女子的姓氏或姓 名前，不指明婚否）女士,7,12
W0337,primary_5A,Unit 5,nature,自然界；大自然,53,58
W0338,primary_5A,Unit 4,next,下一个的；紧接着的； 接下来的,38,43
W0339,primary_5A,Unit 4,no problem,没问题,41,46
W0340,primary_5A,Unit 2,often,时常；常常,17,22
W0341,primary_5A,Unit 1,old,老的；年纪大的,5,10
W0342,primary_5A,Unit 3,onion,洋葱；葱头,29,34
W0343,primary_5A,Unit 1,our,我们的,4,9
W0344,primary_5A,Unit 2,park,公园,17,22
W0345,primary_5A,Unit 4,party,聚会；派对,38,43
W0346,primary_5A,Unit 5,photo,照片；相片,49,54
W0347,primary_5A,Unit 4,ping-pong,乒乓球,42,47
W0348,primary_5A,Unit 5,plant,植物,49,54
W0349,primary_5A,Unit 2,play,踢；玩；参加（体育 运动）,18,23
W0350,primary_5A,Unit 4,play basketball,打篮球,42,47
W0351,primary_5A,Unit 2,play football,踢足球,18,23
W0352,primary_5A,Unit 4,play ping-pong,打乒乓球,42,47
W0353,primary_5A,Unit 2,play sports,做体育运动,19,24
W0354,primary_5A,Unit 4,play the pipa,弹琵琶,39,44
W0355,primary_5A,Unit 1,polite,有礼貌的；客气的,8,13
W0356,primary_5A,Unit 4,problem,问题,41,46
W0357,primary_5A,Unit 3,tea,茶；茶水,25,30
W0358,primary_5A,Unit 6,rabbit,兔；野兔,61,66
W0359,primary_5A,Unit 5,their,他们的；她们的； 它们的,51,56
W0360,primary_5A,Unit 2,read,看；读,18,23
W0361,primary_5A,Unit 5,there,（表示存在或发生）,48,53
W0362,primary_5A,Unit 2,read books,看书,18,23
W0363,primary_5A,Unit 3,thirsty,渴的；口渴的,24,29
W0364,primary_5A,Unit 6,river,河；江,59,64
W0365,primary_5A,Unit 2,Thursday,星期四 tree 树；树木；乔木 p.62,15,20
W0366,primary_5A,Unit 1,robot,机器人,9,14
W0367,primary_5A,Unit 2,tired,疲倦的,19,24
W0368,primary_5A,Unit 3,salad,蔬菜沙拉；混合沙 拉,25,30
W0369,primary_5A,Unit 2,Tuesday,星期二,15,20
W0370,primary_5A,Unit 6,village,村庄；村镇,62,67
W0371,primary_5A,Unit 3,sandwich,三明治,25,30
W0372,primary_5A,Unit 2,Saturday,星期六,15,20
W0373,primary_5A,Unit 2,schedule,工作计划； 日程安排,19,24
W0374,primary_5A,Unit 4,want,要；想要,43,48
W0375,primary_5A,Unit 4,send,邮寄；发送,43,48
W0376,primary_5A,Unit 2,wash,洗,18,23
W0377,primary_5A,Unit 2,should,（常用于纠正别 人）应该，应当,19,24
W0378,primary_5A,Unit 2,wash my clothes,洗我的衣服,18,23
W0379,primary_5A,Unit 2,watch,看,18,23
W0380,primary_5A,Unit 1,shy,羞怯的；腼腆的；怕生的,8,13
W0381,primary_5A,Unit 2,watch TV,看电视,18,23
W0382,primary_5A,Unit 4,sing,唱；唱歌,39,44
W0383,primary_5A,Unit 5,water bottle,水瓶,49,54
W0384,primary_5A,Unit 4,sing English songs,唱英文歌曲,39,44
W0385,primary_5A,Unit 4,we’ll = we will,,38,43
W0386,primary_5A,Unit 1,sometimes,有时； 间或,7,12
W0387,primary_5A,Unit 2,Wednesday,星期三,15,20
W0388,primary_5A,Unit 2,weekend,周末,15,20
W0389,primary_5A,Unit 4,song,歌曲,39,44
W0390,primary_5A,Unit 1,will,（谈及将来）将要,7,12
W0391,primary_5A,Unit 1,speak,会说；会讲（某种 语言）；用（某种语言）说话,9,14
W0392,primary_5A,Unit 4,wonderful,极好的； 了不起的,38,43
W0393,primary_5A,Unit 4,speak English,说英语,42,47
W0394,primary_5A,Unit 2,sport,体育运动,19,24
W0395,primary_5A,Unit 1,young,年轻的；岁数不大的,5,10
W0396,primary_5A,Unit 1,strict,要求严格的；严厉的,5,10
W0397,primary_5A,Unit 2,Sunday,星期日,15,20
W0398,primary_5A,Unit 3,sweet,含糖的；甜的,28,33
W0399,primary_5A,Unit 4,swim,游泳,42,47
W0400,primary_5B,Unit 3,act,扮演,29,34
W0401,primary_5B,Unit 3,act out,把……表演出来,29,34
W0402,primary_5B,Unit 3,a few,一些,24,29
W0403,primary_5B,Unit 1,after,在（时间）后,4,9
W0404,primary_5B,Unit 2,all,全；完全,19,24
W0405,primary_5B,Unit 1,also,还；也,7,12
W0406,primary_5B,Unit 1,always,总是；一直,9,14
W0407,primary_5B,Unit 1,a.m.,午前；上午,5,10
W0408,primary_5B,Unit 3,American,美国的,28,33
W0409,primary_5B,Unit 6,anything,任何事物,61,66
W0410,primary_5B,Unit 3,April,四月,25,30
W0411,primary_5B,Unit 3,August,八月,28,33
W0412,primary_5B,Unit 2,autumn,秋天,15,20
W0413,primary_5B,Unit 6,bamboo,竹子,58,63
W0414,primary_5B,Unit 2,because,因为,17,22
W0415,primary_5B,Unit 2,best,最；最高程度地,14,19
W0416,primary_5B,Unit 1,busy,忙的,7,12
W0417,primary_5B,Unit 3,by,在……之前,29,34
W0418,primary_5B,Unit 6,Canadian,加拿大的,63,68
W0419,primary_5B,Unit 1,cave,山洞；洞穴,9,14
W0420,primary_5B,Unit 3,Christmas,圣诞节,28,33
W0421,primary_5B,Unit 1,clean my room,打扫我的房间,8,13
W0422,primary_5B,Unit 5,climbing,（climb 的-ing形式）（正在）攀登；攀爬,52,57
W0423,primary_5B,Unit 3,contest,比赛；竞赛,25,30
W0424,primary_5B,Unit 1,dancing,跳舞；舞蹈,8,13
W0425,primary_5B,Unit 3,December,十二月,28,33
W0426,primary_5B,Unit 4,diary,日记,43,48
W0427,primary_5B,Unit 1,do morning exercises,做早操,5,10
W0428,primary_5B,Unit 6,doing morning exercises,（正在）做早操,59,64
W0429,primary_5B,Unit 5,drinking,（drink的-ing 形式）（正在）喝（水）,52,57
W0430,primary_5B,Unit 5,each,每一；各个,52,57
W0431,primary_5B,Unit 5,each other,相互,52,57
W0432,primary_5B,Unit 1,eat breakfast,吃早饭,5,10
W0433,primary_5B,Unit 1,eat dinner,吃晚饭,5,10
W0434,primary_5B,Unit 5,eating,（eat的-ing形式） （正在）吃,52,57
W0435,primary_5B,Unit 6,eating lunch,（正在）吃午饭,59,64
W0436,primary_5B,Unit 6,else,另外；其他,61,66
W0437,primary_5B,Unit 5,excited,兴奋的；激动的,53,58
W0438,primary_5B,Unit 1,exercise,活动；运动,5,10
W0439,primary_5B,Unit 6,exhibition,展览,63,68
W0440,primary_5B,Unit 2,fall,落下；【美】秋天,19,24
W0441,primary_5B,Unit 3,February,二月,25,30
W0442,primary_5B,Unit 4,festival,节日 few 不多；很少 p.24,38,43
W0443,primary_5B,Unit 4,fifth (5th,第五（的）,39,44
W0444,primary_5B,Unit 4,first (1st,第一（的）,39,44
W0445,primary_5B,Unit 4,fourth (4th,第四（的）,39,44
W0446,primary_5B,Unit 4,fur,（某些动物的）浓密的 软毛,43,48
W0447,primary_5B,Unit 3,game,游戏,29,34
